snapshot_version,cutoff_date,association_id,disease_code,pmid,pubmed_url,title,authors,abstract,keywords,publication_types,publication_year,journal,language_eligibility_status,eligibility_status,classification_status,semantic_status,relevance_class,decision_code,corpus_status,final_label_source,classification_version,integrity_status,integrity_last_checked_at,plain_language_explanation,eligibility_reason,language_exclusion_reason,association_updated_at
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-001,AD,21514441,https://pubmed.ncbi.nlm.nih.gov/21514441/,Observations in APP bitransgenic mice suggest that diffuse and compact plaques form via independent processes in Alzheimer's disease.,Lord Anna; Philipson Ola; Klingstedt Therése; Westermark Gunilla; Hammarström Per; Nilsson K Peter R; Nilsson Lars N G,"Studies of familial Alzheimer's disease suggest that misfolding and aggregation of amyloid-β (Aβ) peptides initiate the pathogenesis. The Arctic mutation of Aβ precursor protein (APP) results in AD, and Arctic Aβ is more prone to form Aβ protofibrils and extracellular deposits. Herein is demonstrated that the burden of diffuse Aβ deposits but not compact plaques is increased when tg-Swe mice are crossed with tg-ArcSwe mice synthesizing low levels of Arctic Aβ. The diffuse deposits in bitransgenic mice, which contain primarily wild-type Aβ42, accumulate in regions both with and without transgene expression. However, APP processing, when compared with tg-Swe, remains unchanged in young bitransgenic mice, whereas wild-type Aβ42 aggregation is accelerated and fibril architecture is altered in vitro and in vivo when a low level of Arctic Aβ42 is introduced. Thus, the increased number of diffuse deposits is likely due to physical interactions between Arctic Aβ and wild-type Aβ42. The selective increase of a single type of parenchymal Aβ deposit suggests that different pathways lead to formation of diffuse and compact plaques. These findings could have general implications for Alzheimer's disease pathogenesis and particular relevance to patients heterozygous for the Arctic APP mutation. Moreover, it further illustrates how Aβ neuropathologic features can be manipulated in vivo by mechanisms similar to those originally conceptualized in prion research.",,"Journal Article; Research Support, Non-U.S. Gov't",2011,The American journal of pathology,eligible,eligible,final,complete,primary_focus,include,core,Consenso A+B,pilot-v1.1,no_pubmed_integrity_signal,2026-08-22 01:52:33.208402-03,This article is included in the NDRO core analytical corpus.,Estudo empírico original com abstract utilizável,,2026-08-22 01:52:33.208402-03
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-002,AD,21996001,https://pubmed.ncbi.nlm.nih.gov/21996001/,Chronic treatment with rivastigmine in patients with Alzheimer's disease: a study on primary motor cortex excitability tested by 5 Hz-repetitive transcranial magnetic stimulation.,Trebbastoni A; Gilio F; D'Antonio F; Cambieri C; Ceccanti M; de Lena C; Inghilleri M,"OBJECTIVE: To investigate changes in cortical excitability and short-term synaptic plasticity we delivered 5 Hz repetitive transcranial magnetic stimulation (rTMS) over the primary motor cortex in 11 patients with mild-to-moderate Alzheimer's disease (AD) before and after chronic therapy with rivastigmine.
METHODS: Resting motor threshold (RMT), motor evoked potential (MEP), cortical silent period (CSP) after single stimulus and MEP facilitation during rTMS trains were tested three times during treatment. All patients underwent neuropsychological tests before and after receiving rivastigmine. rTMS data in patients were compared with those from age-matched healthy controls.
RESULTS: At baseline, RMT was significantly lower in patients than in controls whereas CSP duration and single MEP amplitude were similar in both groups. In patients, rTMS failed to induce the normal MEP facilitation during the trains. Chronic rivastigmine intake significantly increased MEP amplitude after a single stimulus, whereas it left the other neurophysiological variables studied unchanged. No significant correlation was found between patients' neuropsychological test scores and TMS measures.
CONCLUSIONS: Chronic treatment with rivastigmine has no influence on altered cortical excitability and short-term synaptic plasticity as tested by 5 Hz-rTMS.
SIGNIFICANCE: The limited clinical benefits related to cholinesterase inhibitor therapy in patients with AD depend on factors other than improved plasticity within the cortical glutamatergic circuits.",,Clinical Trial; Journal Article,2011,Clinical neurophysiology : official journal of the International Federation of Clinical Neurophysiology,eligible,eligible,final,complete,primary_focus,include,core,Consenso A+B,pilot-v1.1,no_pubmed_integrity_signal,2026-08-22 01:52:33.208402-03,This article is included in the NDRO core analytical corpus.,Estudo empírico original com abstract utilizável,,2026-08-22 01:52:33.208402-03
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-003,AD,22835784,https://pubmed.ncbi.nlm.nih.gov/22835784/,Sphingolipids: critical players in Alzheimer's disease.,van Echten-Deckert Gerhild; Walter Jochen,"Alzheimer's disease is characterized by the progressive accumulation of extracellular deposits of the amyloid β-peptide (Aβ) and intraneuronal aggregates of the microtubule associated protein tau. Strong genetic, biochemical and cell biological evidence indicates critical roles of Aβ in the initiation of the pathogenic process, while tau might mediate its toxicity and neurodegeneration. Aβ is generated by proteolytic processing of the amyloid precursor protein (APP) by β- and γ-secretases. Alternatively, APP can also be cleaved by α-secretase within the Aβ domain, thereby precluding subsequent production of Aβ. APP and the three secretases are integral membrane proteins and follow secretory and endocytic trafficking pathways. Thus, the membrane lipid composition could play important roles in trafficking and metabolism of Alzheimer's disease related proteins. Sphingolipids and especially complex gangliosides are abundant and characteristic components of neuronal membranes. Together with cholesterol, they confer unique characteristics to membrane domains, thereby regulating subcellular trafficking and signaling pathways. Thus, sphingolipids emerged to important modulators of biological processes including cell growth, differentiation, and senescence. Defects in sphingolipid catabolism are long known to cause severe lysosomal storage disorders, often characterized by neurological phenotypes. In recent studies it became evident that impaired sphingolipid metabolism could also be involved in Alzheimer's disease.",,"Journal Article; Research Support, Non-U.S. Gov't; Review",2012,Progress in lipid research,eligible,excluded,final,not_applicable,,exclude,excluded_eligibility,Regra de elegibilidade,pilot-v1.1,no_pubmed_integrity_signal,2026-08-22 01:52:33.208402-03,This article is excluded because it does not meet NDRO eligibility requirements.,Revisão ou meta-análise,,2026-08-22 01:52:33.208402-03
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-004,AD,23896296,https://pubmed.ncbi.nlm.nih.gov/23896296/,Structural and vibrational study of 8-hydroxyquinoline-2-carboxaldehyde isonicotinoyl hydrazone--a potential metal-protein attenuating compound (MPAC) for the treatment of Alzheimer's disease.,de Freitas Leonardo Viana; da Silva Cecilia C P; Ellena Javier; Costa Luiz Antônio Sodré; Rey Nicolás A,"A comprehensive structural and vibrational study of the potential metal-protein attenuating compound 8-hydroxyquinoline-2-carboxaldehyde isonicotinoyl hydrazone is reported. X-ray diffraction data, as well as FT-IR and Raman frequencies, were compared with the respective theoretical values obtained from DFT calculations. Theory agrees well with experiment. In this context, an attempt of total assignment concerning the FT-IR and Raman spectra of the title compound was performed, shedding new light on previous partial assignments published elsewhere.",Alzheimer’s disease; DFT calculations; Isoniazid; Vibrational spectroscopy; XRD,"Journal Article; Research Support, Non-U.S. Gov't",2013,"Spectrochimica acta. Part A, Molecular and biomolecular spectroscopy",eligible,eligible,final,not_applicable,not_relevant,exclude,excluded_relevance,Adjudicação humana,pilot-v1.1,no_pubmed_integrity_signal,2026-08-22 01:52:33.208402-03,This article is excluded because it does not meet NDRO scientific relevance criteria.,Elegibilidade confirmada durante adjudicação humana,,2026-08-22 01:52:33.208402-03
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-005,AD,24300799,https://pubmed.ncbi.nlm.nih.gov/24300799/,[Neuropsychological features of mixed Alzheimer's and vascular dementia].,Roshchina I F; Mikhaĭlova N M,"Neuropsychological syndrome was defined in 94 patients with mixed Alzheimer's/vascular dementia, 75 patients with vascular dementia and 114 patients with Alzheimer's disease (AD) without clinical signs of cerebrovascular disease. Based on this data, the authors singled out main components of neuropsychological disorders in mild and moderate mixed dementia. The comparison of results of the quantitative assessment of neuropsychological functions (total parameters of three blocks of the brain according to A.R. Luria) in mixed dementia and AD revealed significant between-group differences at the stage of mild dementia. No differences was found between AD and moderate dementia. It has been concluded that the assessment of neuropsychological functions should be used for differential diagnosis of different forms of late-onset dementia and may help in understanding of the contribution of risk vascular factors to the development of dementia.",,Comparative Study; English Abstract; Journal Article,2013,Zhurnal nevrologii i psikhiatrii imeni S.S. Korsakova,eligible,eligible,final,complete,co_primary_focus,include,core,Consenso A+B,pilot-v1.1,no_pubmed_integrity_signal,2026-08-22 01:52:33.208402-03,This article is included in the NDRO core analytical corpus.,Estudo empírico original com abstract utilizável,,2026-08-22 01:52:33.208402-03
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-006,AD,26049091,https://pubmed.ncbi.nlm.nih.gov/26049091/,The right insula contributes to memory awareness in cognitively diverse older adults.,Cosentino Stephanie; Brickman Adam M; Griffith Erica; Habeck Christian; Cines Sarah; Farrell Meagan; Shaked Danielle; Huey Edward D; Briner Tamara; Stern Yaakov,"Unawareness of memory loss is a challenging characteristic of Alzheimer's disease (AD) and other age-related neurodegenerative conditions at their earliest stages, adversely affecting important outcomes such as patient decision making and safety. The basis of this metacognitive disturbance has been elusive; however it is almost certainly determined in part by compromise to brain regions critical for self-assessment. The subjectivity of traditional measurements of self-awareness in dementia has likely limited the rigor with which its neuroanatomic correlates can be established. Here we objectively measure memory awareness (metamemory) using a Feeling of Knowing (FOK) task in a group of cognitively diverse older adults, including 14 with mild AD and 20 cognitively healthy older adults. Performance on the metamemory task was examined in relation to the structural integrity of 14 bilateral neuroanatomic regions hypothesized to support self-awareness. Less accurate metamemory was associated only with reduced right insular volume (r=.41, p=.019). Implications of the current findings for models of metacognitive aging are discussed, with attention to the role of the insula in the conscious detection of errors.",Alzheimer's disease; Anosognosia; Awareness; Insula; Metacognition,"Journal Article; Research Support, N.I.H., Extramural",2015,Neuropsychologia,eligible,eligible,final,complete,primary_focus,include,core,Consenso A+B,pilot-v1.1,no_pubmed_integrity_signal,2026-08-22 01:52:33.208402-03,This article is included in the NDRO core analytical corpus.,Estudo empírico original com abstract utilizável,,2026-08-22 01:52:33.208402-03
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-007,AD,26890786,https://pubmed.ncbi.nlm.nih.gov/26890786/,Intranasal TAT-haFGF Improves Cognition and Amyloid-β Pathology in an AβPP/PS1 Mouse Model of Alzheimer's Disease.,Lou Guofeng; Zhang Qihao; Xiao Fei; Xiang Qi; Su Zhijian; Huang Yadong,"Neurotoxic amyloid-β (Aβ) peptide causing cognitive function disabilities is one of the most characteristic pathological features in Alzheimer's disease (AD). A novel fusion protein, TAT-haFGF, was administrated to AβPP/PS1 transgenic mice by intravenous (IV) injection and intranasal (IN) delivery, respectively, for 5 weeks to compare the pharmacodynamics between the two routes of administration. Our results showed that IN administration of TAT-haFGF improved cognition and reduced Aβ plaques more significantly in AβPP/PS1 mice, when compared with IV injection. Our new findings suggest that TAT-haFGF might be a promising new therapy to attenuate AD pathological process.",Alzheimer’s disease; AβPP/PS1; haFGF; intranasal administration; TAT,"Journal Article; Research Support, Non-U.S. Gov't",2016,Journal of Alzheimer's disease : JAD,eligible,eligible,final,complete,primary_focus,include,core,Consenso A+B,pilot-v1.1,no_pubmed_integrity_signal,2026-08-22 01:52:33.208402-03,This article is included in the NDRO core analytical corpus.,Estudo empírico original com abstract utilizável,,2026-08-22 01:52:33.208402-03
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-008,AD,27048709,https://pubmed.ncbi.nlm.nih.gov/27048709/,Communicative Coping Behavior Checklist: Observation of Persons With Dementia in the Home Environment.,Saunders Pamela A; Ruth Julia; Latella Lauren; Talisman Nicholas,"PURPOSE OF THE STUDY: Communication contributes to increased stress, mortality, and decreased quality of life (QOL) for persons with dementia (PWD) and caregivers. PWD use communicative coping behaviors (CCBs) to manage the demands of the disease. However, most assessments neither look for nor give credit to communication behaviors. This is the first study to examine CCBs in the home environment as measured by the Communicative Coping Behavior Checklist (CCBC).
DESIGN AND METHODS: This cross-sectional quantitative study included 26 dementia and 18 cognitively normal control dyads. Raters observed their partners' CCBs at home, over several weeks and completed the CCBC. We analyzed the endorsement rates (how often behaviors were observed by a rater) of emotion and activity-focused CCBs in dementia and control dyads.
RESULTS: The primary outcome was rate of CCB endorsement. Secondary outcomes included dementia diagnosis, cognitive status, depressive mood, life satisfaction (SWL) and QOL. Dementia dyads endorsed 11 of 23 CCBs significantly more than control dyads. Action-focused CCBs (p < .001) were more frequent than emotion-focused CCBs (p = .004) in dementia dyads. Specific CCBs such as humor correlated with higher caregiver QOL (p = .019) and PWD's SWL (p = .003). Another CCB, general humor, correlated with lower PWD's SWL (p = .024).
IMPLICATIONS: This was the first study to examine CCBs in the home environment comparing dementia and control dyads. Higher endorsement rates of action-focused than emotion-focused CCBs were seen in dementia dyads. We conclude that attention to CCBs during treatment and care will improve QOL and SWL of PWD and caregivers.",Alzheimers; Assessment; Communication; Coping; Dementia; Language,Journal Article,2016,The Gerontologist,eligible,eligible,final,not_applicable,not_relevant,exclude,excluded_relevance,Consenso A+B,pilot-v1.1,no_pubmed_integrity_signal,2026-08-22 01:52:33.208402-03,This article is excluded because it does not meet NDRO scientific relevance criteria.,Estudo empírico original com abstract utilizável,,2026-08-22 01:52:33.208402-03
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-009,AD,28503138,https://pubmed.ncbi.nlm.nih.gov/28503138/,Enhanced Feedback-Related Negativity in Alzheimer's Disease.,Nitta Eri; Onoda Keiichi; Ishitobi Fuminori; Okazaki Ryota; Mishima Seiji; Nagai Atsushi; Yamaguchi Shuhei,"Alzheimer's disease (AD), the most common cause of dementia in the elderly, results in the impairment of executive function, including that of performance monitoring. Feedback-related negativity (FRN) is an electrophysiological measure reflecting the activity of this monitoring system via feedback signals, and is generated from the anterior cingulate cortex. However, there have been no reports on FRN in AD. Based on prior aging studies, we hypothesized that FRN would decrease in AD patients. To assess this, FRN was measured in healthy individuals and those with AD during a simple gambling task involving positive and negative feedback stimuli. Contrary to our hypothesis, FRN amplitude increased in AD patients, compared with the healthy elderly. We speculate that this may reflect the existence of a compensatory mechanism against the decline in executive function. Also, there was a significant association between FRN amplitude and depression scores in AD, and the FRN amplitude tended to increase insomuch as the Self-rating Depression Scale (SDS) was higher. This result suggests the existence of a negative bias in the affective state in AD. Thus, the impaired functioning monitoring system in AD is a more complex phenomenon than we thought.",aging; Alzheimer’s disease; depression; feedback-related negativity; monitoring systems,Journal Article,2017,Frontiers in human neuroscience,eligible,eligible,final,complete,primary_focus,include,core,Consenso A+B,pilot-v1.1,no_pubmed_integrity_signal,2026-08-22 01:52:33.208402-03,This article is included in the NDRO core analytical corpus.,Estudo empírico original com abstract utilizável,,2026-08-22 01:52:33.208402-03
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-010,AD,29109789,https://pubmed.ncbi.nlm.nih.gov/29109789/,Nucleic Acid-Based Theranostics for Tackling Alzheimer's Disease.,Chakravarthy Madhuri; Chen Suxiang; Dodd Peter R; Veedu Rakesh N,"Nucleic acid-based technologies have received significant interest in recent years as novel theranostic strategies for various diseases. The approval by the United States Food and Drug Administration (FDA) of Nusinersen, an antisense oligonucleotide drug, for the treatment of spinal muscular dystrophy highlights the potential of nucleic acids to treat neurological diseases, including Alzheimer's disease (AD). AD is a devastating neurodegenerative disease characterized by progressive impairment of cognitive function and behavior. It is the most common form of dementia; it affects more than 20% of people over 65 years of age and leads to death 7-15 years after diagnosis. Intervention with novel agents addressing the underlying molecular causes is critical. Here we provide a comprehensive review on recent developments in nucleic acid-based theranostic strategies to diagnose and treat AD.",Alzheimer's disease; amyloid beta peptides; chemically modified oligonucleotides; nucleic acid therapeutics.; nucleic acids; tau peptide,"Journal Article; Research Support, Non-U.S. Gov't; Review",2017,Theranostics,eligible,excluded,final,not_applicable,,exclude,excluded_eligibility,Regra de elegibilidade,pilot-v1.1,no_pubmed_integrity_signal,2026-08-22 01:52:33.208402-03,This article is excluded because it does not meet NDRO eligibility requirements.,Revisão ou meta-análise,,2026-08-22 01:52:33.208402-03
