snapshot_version,cutoff_date,association_id,disease_code,pmid,corpus_status,intervention_id,intervention_name,intervention_type,therapeutic_intent,dose,route,duration,intervention_comparator,intervention_confidence,outcome_id,outcome_name,outcome_domain,effect_direction,reported_significance,outcome_comparator,result_summary,outcome_confidence
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-001,AD,21514441,core,,,,,,,,,,AD-R-001-O01,molecular_cellular result 1,molecular_cellular,not_reported,not_reported,,"The Arctic mutation of Aβ precursor protein (APP) results in AD, and Arctic Aβ is more prone to form Aβ protofibrils and extracellular deposits.",medium
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-001,AD,21514441,core,,,,,,,,,,AD-R-001-O02,biomarker result 2,biomarker,increase,not_reported,,Herein is demonstrated that the burden of diffuse Aβ deposits but not compact plaques is increased when tg-Swe mice are crossed with tg-ArcSwe mice synthesizing low levels of Arctic Aβ.,medium
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-001,AD,21514441,core,,,,,,,,,,AD-R-001-O03,other result 3,other,increase,not_reported,,"Thus, the increased number of diffuse deposits is likely due to physical interactions between Arctic Aβ and wild-type Aβ42.",medium
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-001,AD,21514441,core,,,,,,,,,,AD-R-001-O04,molecular_cellular result 4,molecular_cellular,increase,not_reported,,The selective increase of a single type of parenchymal Aβ deposit suggests that different pathways lead to formation of diffuse and compact plaques.,medium
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-002,AD,21996001,core,AD-R-002-I01,rivastigmine,drug,t,,,,,high,AD-R-002-O01,other result 1,other,beneficial,significant,,"RESULTS: At baseline, RMT was significantly lower in patients than in controls whereas CSP duration and single MEP amplitude were similar in both groups.",high
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-002,AD,21996001,core,AD-R-002-I01,rivastigmine,drug,t,,,,,high,AD-R-002-O02,other result 2,other,no_effect,not_reported,,"In patients, rTMS failed to induce the normal MEP facilitation during the trains.",medium
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-002,AD,21996001,core,AD-R-002-I01,rivastigmine,drug,t,,,,,high,AD-R-002-O03,other result 3,other,no_effect,significant,,"Chronic rivastigmine intake significantly increased MEP amplitude after a single stimulus, whereas it left the other neurophysiological variables studied unchanged.",high
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-002,AD,21996001,core,AD-R-002-I01,rivastigmine,drug,t,,,,,high,AD-R-002-O04,other result 4,other,no_effect,not_significant,,No significant correlation was found between patients' neuropsychological test scores and TMS measures.,high
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-005,AD,24300799,core,,,,,,,,,,AD-R-005-O01,other result 1,other,not_reported,not_reported,,The comparison of results of the quantitative assessment of neuropsychological functions (total parameters of three blocks of the brain according to A.R.,medium
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-005,AD,24300799,core,,,,,,,,,,AD-R-005-O02,other result 2,other,not_reported,significant,,Luria) in mixed dementia and AD revealed significant between-group differences at the stage of mild dementia.,high
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-005,AD,24300799,core,,,,,,,,,,AD-R-005-O03,other result 3,other,no_effect,not_reported,,No differences was found between AD and moderate dementia.,medium
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-006,AD,26049091,core,,,,,,,,,,AD-R-006-O01,Metamemory accuracy versus right insular volume,cognition,positive_association,significant,,Less accurate metamemory was associated with reduced right insular volume.,high
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-007,AD,26890786,core,AD-R-007-I01,TAT-haFGF,biologic,t,,,,,high,AD-R-007-O01,cognition result 1,cognition,beneficial,not_reported,,Intranasal TAT-haFGF Improves Cognition and Amyloid-β Pathology in an AβPP/PS1 Mouse Model of Alzheimer's Disease.,medium
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-007,AD,26890786,core,AD-R-007-I01,TAT-haFGF,biologic,t,,,,,high,AD-R-007-O02,cognition result 2,cognition,beneficial,significant,,"Our results showed that IN administration of TAT-haFGF improved cognition and reduced Aβ plaques more significantly in AβPP/PS1 mice, when compared with IV injection.",high
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-009,AD,28503138,core,,,,,,,,,,AD-R-009-O01,other result 1,other,harmful,not_reported,,"Alzheimer's disease (AD), the most common cause of dementia in the elderly, results in the impairment of executive function, including that of performance monitoring.",medium
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-009,AD,28503138,core,,,,,,,,,,AD-R-009-O02,other result 2,other,decrease,not_reported,,"Based on prior aging studies, we hypothesized that FRN would decrease in AD patients.",medium
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-009,AD,28503138,core,,,,,,,,,,AD-R-009-O03,other result 3,other,increase,not_reported,,"Contrary to our hypothesis, FRN amplitude increased in AD patients, compared with the healthy elderly.",medium
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-009,AD,28503138,core,,,,,,,,,,AD-R-009-O04,behavior result 4,behavior,increase,significant,,"Also, there was a significant association between FRN amplitude and depression scores in AD, and the FRN amplitude tended to increase insomuch as the Self-rating Depression Scale (SDS) was higher.",high
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-012,AD,31378059,core,AD-R-012-I01,dual sEH/p38 inhibitor,drug,t,,,,,high,AD-R-012-O01,molecular_cellular result 1,molecular_cellular,beneficial,not_reported,,"To further elucidate the molecular mechanisms, differentiated SH-SY5Y human neuroblastoma cells were used as an AD cell model, and we investigated the neuroprotection of TPPU against amyloid oligomers.",medium
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-012,AD,31378059,core,AD-R-012-I01,dual sEH/p38 inhibitor,drug,t,,,,,high,AD-R-012-O02,survival result 2,survival,harmful,not_reported,,"We found that TPPU effectively prevents neuronal death by mitigating amyloid neurotoxicity, tau hyperphosphorylation, and mitochondrial dysfunction, promoting neurite outgrowth and suppressing activation and nuclear translocation of NF-κB for inflammatory responses in human nerve cells.",medium
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-012,AD,31378059,core,AD-R-012-I01,dual sEH/p38 inhibitor,drug,t,,,,,high,AD-R-012-O03,molecular_cellular result 3,molecular_cellular,not_reported,not_reported,,"The results indicate that TPPU is a potent and selective dual inhibitor of sEH and p38β kinase, showing a synergistic action in multiple AD signaling pathways.",medium
