snapshot_version,cutoff_date,association_id,disease_code,corpus_status,pmid,publication_year,publication_form,population_description,sample_size_total,overall_treatment_signal,extraction_confidence,design_codes,objective_codes,context_codes,methods,models,countries
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-001,AD,core,21514441,2011,original_research,Human study population,,not_applicable,high,mechanistic,disease_mechanism; genetics; model_development,animal; human; in_vitro,Cell culture / in-vitro assay,,SWE — Sweden
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-002,AD,core,21996001,2011,original_research,patients,11,no_effect,high,case_control; clinical_trial; mechanistic; methodological,treatment,human,Neuropsychological assessment; Transcranial magnetic stimulation,,ITA — Italy
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-005,AD,core,24300799,2013,original_research,patients; patients; patients,,not_applicable,high,mechanistic,diagnosis; disease_mechanism,human,Neuropsychological assessment,,
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-006,AD,core,26049091,2015,original_research,Mild Alzheimer disease; Cognitively healthy older adults,,not_applicable,high,case_control; cross_sectional,biomarker; disease_mechanism; neuroimaging,human,Feeling of Knowing task; Structural neuroanatomic volumetry,,USA — United States
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-007,AD,core,26890786,2016,original_research,mice,1,beneficial,high,mechanistic; preclinical_intervention,disease_mechanism; model_development; treatment,animal,,Amyloid transgenic mouse model,CHN — China
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-009,AD,core,28503138,2017,original_research,Human study population,,not_applicable,high,mechanistic; methodological,disease_mechanism,human,Cellular electrophysiology,,JPN — Japan
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-012,AD,core,31378059,2019,original_research,,,mixed,high,mechanistic; preclinical_intervention,disease_mechanism; model_development; treatment,animal; human; in_vitro,Cell culture / in-vitro assay,SH-SY5Y cell model,USA — United States
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-015,AD,core,34118592,2021,original_research,participants,139,not_applicable,high,case_control; cohort; diagnostic_accuracy; mechanistic; methodological,diagnosis; health_services; method_development; neuroimaging,human,Machine-learning analysis; Magnetic resonance imaging,,NLD — Netherlands
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-017,AD,core,35344200,2022,original_research,Human study population,,not_applicable,high,diagnostic_accuracy; methodological,diagnosis; method_development; neuroimaging,human,Magnetic resonance imaging,,CHN — China
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-018,AD,core,38306048,2024,original_research,,,not_applicable,high,mechanistic; methodological,disease_mechanism; genetics; model_development; progression,animal,,,CHN — China
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-019,AD,core,40084666,2025,original_research,Human study population,,not_applicable,high,mechanistic; methodological,biomarker; diagnosis; genetics; progression,human,,,USA — United States
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-041,AD,core,20888846,2010,original_research,Alzheimer disease; Behavioral variant frontotemporal dementia; Dementia with Lewy bodies; Matched controls,,not_applicable,high,case_control; cross_sectional,diagnosis; disease_mechanism,human,Lille Communication Test; Verbal and non-verbal communication domain analysis,,FRA — France
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-043,AD,core,22551949,2012,original_research,,,beneficial,high,mechanistic; preclinical_intervention,disease_mechanism; treatment,in_vitro,,PC12 cell model,CHN — China
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-052,AD,core,30832390,2019,original_research,Human study population,,not_applicable,high,mechanistic; methodological,disease_mechanism,human,,,GBR — United Kingdom; USA — United States
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-053,AD,core,33163613,2020,original_research,Adults with Down syndrome and sibling controls,156,not_applicable,high,cohort; cross_sectional,biomarker; disease_mechanism; neuroimaging,human,Amyloid PET with [11C]PiB; Multiple linear regression; Tau PET with [18F]AV-1451,,GBR — United Kingdom; USA — United States
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-057,AD,separate,37645746,2023,original_research,participants,288,not_applicable,high,mechanistic,biomarker; disease_mechanism; genetics,human,Genome-wide association analysis,,GBR — United Kingdom; NLD — Netherlands
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-061,AD,core,20624932,2010,original_research,,,not_applicable,high,mechanistic,disease_mechanism; model_development,animal; ex_vivo; in_vitro,Cell culture / in-vitro assay; MALDI-TOF mass spectrometry,,KOR — South Korea
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-063,AD,core,22112898,2011,original_research,,,not_applicable,high,mechanistic,disease_mechanism; model_development; progression,animal; human,,,USA — United States
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-065,AD,separate,23474058,2013,original_research,cases; case,,not_applicable,high,mechanistic; methodological; survey,diagnosis; disease_mechanism; genetics,human,Questionnaire / survey,,USA — United States
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-068,AD,core,27760426,2016,original_research,,,beneficial,high,mechanistic; preclinical_intervention,disease_mechanism; model_development; treatment,animal; in_vitro,Cell culture / in-vitro assay,Drosophila model,ISR — Israel
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-069,AD,separate,28355558,2017,original_research,Human study population,,not_applicable,high,mechanistic,disease_mechanism,animal; human,,,DEU — Germany; ISR — Israel; USA — United States
